Question,Answer,Topic
"What does ""without interference"" mean for a judge?",It means they can make rulings based on the Constitution even if the government disagrees.,Judicial Independence | Judicial Power
What kind of issues do civil cases cover?,"Civil cases generally involve disputes over property, contracts, family matters, and private rights.",Civil Law | Subject Matter
Is a property dispute considered a civil or criminal case?,A dispute related to property is typically categorized as a civil case in India.,Civil Law | Property Disputes
Does civil law handle family problems like divorce?,"Yes, family matters are a key part of the private rights handled by civil cases.",Civil Law | Family Law
"What are ""private rights"" in the Indian legal system?","Private rights refer to the individual rights and duties between citizens, such as in contracts or property.",Civil Law | Private Rights
"If someone breaks a business contract, is that a civil case?","Yes, disputes related to contracts are handled under civil law.",Civil Law | Contracts
What is the main purpose of a civil case?,The main purpose is to resolve disputes between private parties regarding their rights and obligations.,Civil Law | Legal Purpose
Does a civil case result in jail time?,"Generally, no; civil cases are for resolving private disputes, not for punishing crimes against society.",Civil Law | Remedies
How is a criminal case different from a civil case?,"Criminal cases involve offences against the state or society, while civil cases involve private disputes.",Criminal Law | Definition
Is theft considered a civil wrong or a criminal offence?,Theft is a criminal offence because it is considered a crime against society.,Criminal Law | Theft
Why is assault handled by the state in court?,"Assault is an offence against the society/state, which is why it is treated as a criminal matter.",Criminal Law | Assault
Is fraud a criminal case in India?,"Yes, fraud is a criminal offence that involves an act against the state or society.",Criminal Law | Fraud
"What defines a ""crime"" in the Indian legal system?","A crime is an offence against the state or society, such as theft, assault, or fraud.",Criminal Law | Offences
Who initiates a criminal case against an offender?,"Since it is an offence against society, the state typically initiates the criminal proceedings.",Criminal Law | Prosecution
Can a single act be both civil and criminal?,"Yes, some acts like fraud can have both criminal consequences and civil liability for damages.",Criminal Law | Legal Overlap
Which law governs the process of a civil trial?,"Civil courts follow the procedures laid down in the Code of Civil Procedure, 1908.",Civil Procedure | CPC 1908
"What is the ""CPC"" in Indian law?","CPC stands for the Code of Civil Procedure, 1908, which dictates how civil cases are conducted.",Civil Procedure | CPC
How are civil lawsuits managed in court?,"They follow the specific rules and procedures established by the Code of Civil Procedure, 1908.",Civil Procedure | Litigation
Is there a specific code for civil court rules?,"Yes, the Code of Civil Procedure, 1908, provides the uniform rules for all civil courts in India.",Civil Procedure | Legal Code
When was the Code of Civil Procedure created?,The current Code used by civil courts was established in the year 1908.,Civil Procedure | History
Does every state have its own civil procedure code?,"No, civil courts across India generally follow the central Code of Civil Procedure, 1908.",Civil Procedure | Jurisdiction
Which law tells a judge how to handle a property case?,"The procedures for handling such civil cases are found in the Code of Civil Procedure, 1908.",Civil Procedure | Judicial Process
What law dictates how a criminal trial is conducted?,"Criminal courts follow the procedures established under the Code of Criminal Procedure (CrPC), 1973.",Criminal Procedure | CrPC 1973
